tti;sch_eligible_ue_count;sch_active_ue_count;dl_rb_allocated_count;dl_rb_per_ue_avg;dl_bits_per_rb_avg;dl_capacity_bits_sum_tti;dl_transmitted_bits_sum_tti;dl_throughput_sum_kbps;dl_cqi_wb_avg_idx;dl_sinr_avg;buffer_size_sum_bytes;sch_total_time_us;pdcch_cce_total_count;pdcch_cce_allocated_count;pdcch_cce_utilization_pct;sch_priority_calc_time_us;sch_priority_sort_time_us;dl_prb_utilization_pct;sch_priority_list_size;sch_pdcch_blocked_count;sch_avg_priority_value;sch_eligible_to_active_ratio;sch_priority_min;sch_priority_max;sch_priority_std;dl_throughput_kbps_min;dl_throughput_kbps_max;dl_throughput_kbps_avg;dl_throughput_kbps_std;dl_cqi_wb_idx_min;dl_cqi_wb_idx_max;dl_cqi_wb_idx_avg;dl_cqi_wb_idx_std;dl_sinr_min;dl_sinr_max;dl_sinr_std;dl_rb_utilization_pct;dl_rb_wasted_count;dl_rb_idle_count;dl_spectral_efficiency_bps_hz;dl_spectral_efficiency_avg_ue;dl_spectral_efficiency_peak;dl_throughput_cv_pct;dl_cqi_cv_pct;dl_sinr_cv_pct;dl_rb_allocation_cv_pct;dl_spectral_efficiency_cv_pct;dl_fairness_jain_index;dl_throughput_variance;dl_throughput_std
4222;8;1;50;50,0;229,0;22900;22900;22900,0;12,12;20,6;2096008;2208,4;25;16;64,0;64,6;38,6;100,0;8;0;14,7556;12,5;12,6315;18,4413;1,52;22900,0;22900,0;22900,0;0,0;7,0;15,0;12,0;3,0;7,63;37,3;9,51;100,0;0;0;2,29;2,29;2,29;0,0;24,89;46,16;0,0;0,0;0,125;57357343750000,0;7573463,13
4223;8;1;50;50,0;229,0;22900;22900;22900,0;11,88;20,15;2095805;2016,1;25;16;64,0;34,9;59,1;100,0;8;0;14,4808;12,5;12,6568;18,1251;1,56;22900,0;22900,0;22900,0;0,0;7,0;15,0;12,0;3,0;7,68;37,82;9,68;100,0;0;0;2,29;2,29;2,29;0,0;25,07;48,04;0,0;0,0;0,125;57357343750000,0;7573463,13
4224;8;1;50;50,0;201,0;20100;20100;20100,0;11,75;19,73;2096350;2587,9;25;16;64,0;37,7;38,8;100,0;8;0;14,1948;12,5;12,6822;15,6411;0,91;20100,0;20100,0;20100,0;0,0;7,0;15,0;12,0;3,0;6,76;37,97;10,14;100,0;0;0;2,01;2,01;2,01;0,0;26,83;51,37;0,0;0,0;0,125;44188593750000,0;6647450,17
4225;8;1;50;50,0;492,0;49200;49200;49200,0;11,38;18,95;2094944;1812,8;25;20;80,0;44,8;42,0;100,0;8;0;13,3989;12,5;9,4333;14,644;1,66;49200,0;49200,0;49200,0;0,0;5,0;15,0;11,0;3,0;2,1;37,94;11,08;100,0;0;0;4,92;4,92;4,92;0,0;30,43;58,44;0,0;0,0;0,125;264757500000000,0;16271370,56
4226;8;1;50;50,0;380,0;38000;38000;38000,0;11,25;18,9;2090361;6084,2;25;21;84,0;58,5;73,0;100,0;8;0;13,0757;12,5;9,4522;14,6732;1,8;38000,0;38000,0;38000,0;0,0;5,0;15,0;11,0;4,0;3,38;37,77;10,88;100,0;0;0;3,8;3,8;3,8;0,0;31,66;57,58;0,0;0,0;0,125;157937500000000,0;12567318,73
4227;8;1;50;50,0;492,0;49200;49200;49200,0;11,38;18,84;2093339;2743,1;25;23;92,0;30,0;25,5;100,0;8;0;13,4471;12,5;9,5205;14,6262;1,69;49200,0;49200,0;49200,0;0,0;6,0;15,0;11,0;3,0;4,73;37,23;10,73;100,0;0;0;4,92;4,92;4,92;0,0;28,8;56,93;0,0;0,0;0,125;264757500000000,0;16271370,56
4228;8;1;50;50,0;201,0;20100;20100;20100,0;11,62;19,18;2091119;1841,6;25;18;72,0;42,3;39,8;100,0;8;0;13,9824;12,5;9,5396;15,5082;1,72;20100,0;20100,0;20100,0;0,0;7,0;15,0;12,0;3,0;7,23;36,72;10,37;100,0;0;0;2,01;2,01;2,01;0,0;26,84;54,05;0,0;0,0;0,125;44188593750000,0;6647450,17
4229;8;1;50;50,0;201,0;20100;20100;20100,0;11,62;19,46;2094290;1077,1;25;18;72,0;22,0;22,9;100,0;8;0;13,9788;12,5;9,5587;15,2864;1,69;20100,0;20100,0;20100,0;0,0;7,0;15,0;12,0;3,0;7,81;36,15;10,03;100,0;0;0;2,01;2,01;2,01;0,0;26,84;51,52;0,0;0,0;0,125;44188593750000,0;6647450,17
4230;8;1;50;50,0;201,0;20100;20100;20100,0;11,75;19,4;2095025;1519,3;25;16;64,0;29,6;36,7;100,0;8;0;14,182;12,5;11,2256;15,0711;1,14;20100,0;20100,0;20100,0;0,0;7,0;15,0;12,0;3,0;6,43;35,58;10,04;100,0;0;0;2,01;2,01;2,01;0,0;25,8;51,74;0,0;0,0;0,125;44188593750000,0;6647450,17
4231;8;1;50;50,0;492,0;49200;49200;49200,0;11,38;19,13;2095978;1803,6;25;20;80,0;82,9;44,5;100,0;8;0;13,2052;12,5;9,0947;14,6715;1,94;49200,0;49200,0;49200,0;0,0;5,0;15,0;11,0;3,0;3,01;35,1;10,57;100,0;0;0;4,92;4,92;4,92;0,0;30,75;55,26;0,0;0,0;0,125;264757500000000,0;16271370,56
