tti;sch_eligible_ue_count;sch_active_ue_count;dl_rb_allocated_count;dl_rb_per_ue_avg;dl_bits_per_rb_avg;dl_capacity_bits_sum_tti;dl_transmitted_bits_sum_tti;dl_throughput_sum_kbps;dl_cqi_wb_avg_idx;dl_sinr_avg;buffer_size_sum_bytes;sch_total_time_us;pdcch_cce_total_count;pdcch_cce_allocated_count;pdcch_cce_utilization_pct;sch_priority_calc_time_us;sch_priority_sort_time_us;dl_prb_utilization_pct;sch_priority_list_size;sch_pdcch_blocked_count;sch_avg_priority_value;sch_eligible_to_active_ratio;sch_priority_min;sch_priority_max;sch_priority_std;dl_throughput_kbps_min;dl_throughput_kbps_max;dl_throughput_kbps_avg;dl_throughput_kbps_std;dl_cqi_wb_idx_min;dl_cqi_wb_idx_max;dl_cqi_wb_idx_avg;dl_cqi_wb_idx_std;dl_sinr_min;dl_sinr_max;dl_sinr_std;dl_rb_utilization_pct;dl_rb_wasted_count;dl_rb_idle_count;dl_spectral_efficiency_bps_hz;dl_spectral_efficiency_avg_ue;dl_spectral_efficiency_peak;dl_throughput_cv_pct;dl_cqi_cv_pct;dl_sinr_cv_pct;dl_rb_allocation_cv_pct;dl_spectral_efficiency_cv_pct;dl_fairness_jain_index;dl_throughput_variance;dl_throughput_std
0;8;2;50;25,0;487,84;49200;48784;48784,0;10,5;17,41;33393;853,2;25;23;92,0;50,7;205,6;100,0;8;0;34287,5;25,0;3900,0;49200,0;15107,32;1968,0;46816,0;24392,0;22424,0;2,0;15,0;10,0;4,0;-3,2;36,68;12,89;99,15;0;0;4,8784;2,4392;4,6816;91,93;39,84;53,93;92,0;91,93;0,1355;237265756000000,0;15403433,25
1;8;2;50;25,0;424,08;45200;42408;42408,0;10,38;17,12;46049;545,6;25;25;100,0;18,4;20,0;100,0;8;0;24281,3653;25,0;1050,9228;48000,0;14395,95;10640,0;31768,0;21204,0;10564,0;3,0;15,0;10,0;4,0;-1,2;36,49;12,57;93,82;3;0;4,2408;2,1204;3,1768;49,82;38,23;56,84;44,0;49,82;0,2003;112201327000000,0;10592512,78
2;8;1;50;50,0;380,0;38000;38000;38000,0;10,75;18,3;70907;442,0;25;23;92,0;17,0;20,5;100,0;8;0;15950,2428;12,5;1053,0278;38000,0;12933,3;38000,0;38000,0;38000,0;0,0;4,0;15,0;11,0;4,0;0,92;37,21;12,17;100,0;0;0;3,8;3,8;3,8;0,0;33,78;66,48;0,0;0,0;0,125;157937500000000,0;12567318,73
3;8;1;50;50,0;279,0;27900;27900;27900,0;11,25;19,27;97021;446,0;25;21;84,0;17,7;18,8;100,0;8;0;11692,4998;12,5;1055,137;27900,0;10571,5;27900,0;27900,0;27900,0;0,0;5,0;15,0;11,0;4,0;1,84;39,34;12,25;100,0;0;0;2,79;2,79;2,79;0,0;31,35;63,56;0,0;0,0;0,125;85138593750000,0;9227057,7
4;8;1;50;50,0;492,0;49200;49200;49200,0;11,25;19,68;131691;386,7;25;21;84,0;17,1;17,4;100,0;8;0;8055,4367;12,5;1000,0;25150,5264;8962,86;49200,0;49200,0;49200,0;0,0;4,0;15,0;11,0;4,0;1,4;41,01;12,57;100,0;0;0;4,92;4,92;4,92;0,0;34,07;63,88;0,0;0,0;0,125;264757500000000,0;16271370,56
5;8;1;50;50,0;201,0;20100;20100;20100,0;11,12;19,37;163991;397,8;25;21;84,0;25,0;20,4;100,0;8;0;4583,5699;12,5;961,7966;20100,0;6153,96;20100,0;20100,0;20100,0;0,0;3,0;15,0;11,0;4,0;-1,06;42,03;13,11;100,0;0;0;2,01;2,01;2,01;0,0;36,63;50,8;0,0;0,0;0,125;44188593750000,0;6647450,17
6;8;1;50;50,0;480,0;48000;48000;48000,0;10,75;18,63;187305;489,6;25;22;88,0;18,9;21,8;100,0;8;0;1711,3965;12,5;963,7231;4547,5314;1174,68;48000,0;48000,0;48000,0;0,0;1,0;15,0;11,0;5,0;-4,83;42,72;13,87;100,0;0;0;4,8;4,8;4,8;0,0;42,31;51,86;0,0;0,0;0,125;252000000000000,0;15874507,87
7;8;1;50;50,0;25,0;2500;2500;2500,0;10,62;18,21;208892;431,1;25;23;92,0;23,0;22,1;100,0;8;0;1232,3994;12,5;819,8874;2500,0;500,9;2500,0;2500,0;2500,0;0,0;1,0;15,0;11,0;4,0;-8,22;43,16;14,53;100,0;0;0;0,25;0,25;0,25;0,0;42,34;51,32;0,0;0,0;0,125;683593750000,0;826797,28
8;8;1;50;50,0;466,0;46600;46600;46600,0;10,88;18,1;238860;459,4;25;21;84,0;19,9;22,0;100,0;8;0;1073,7699;12,5;821,5297;1484,6025;188,93;46600,0;46600,0;46600,0;0,0;1,0;15,0;11,0;5,0;-9,57;43,49;14,82;100,0;0;0;4,66;4,66;4,66;0,0;42,25;50,91;0,0;0,0;0,125;237514375000000,0;15411501,39
9;8;1;50;50,0;466,0;46600;46600;46600,0;11,0;18,53;258073;440,2;25;21;84,0;15,9;18,2;100,0;8;0;982,2116;12,5;597,7617;1241,1277;185,63;46600,0;46600,0;46600,0;0,0;1,0;15,0;11,0;4,0;-7,4;43,5;14,29;100,0;0;0;4,66;4,66;4,66;0,0;40,91;50,02;0,0;0,0;0,125;237514375000000,0;15411501,39
10;8;1;50;50,0;39,0;3900;3900;3900,0;11,12;19,06;294057;410,4;25;21;84,0;16,0;18,7;100,0;8;0;968,2634;12,5;554,0433;1566,2556;302,26;3900,0;3900,0;3900,0;0,0;2,0;15,0;11,0;4,0;-3,8;43,28;13,51;100,0;0;0;0,39;0,39;0,39;0,0;37,99;49,76;0,0;0,0;0,125;1663593750000,0;1289803,76
11;8;1;50;50,0;229,0;22900;22900;22900,0;11,12;19,18;331691;525,9;25;22;88,0;25,6;54,1;100,0;8;0;891,8061;12,5;511,0744;1150,7594;213,43;22900,0;22900,0;22900,0;0,0;3,0;15,0;11,0;4,0;-0,87;42,94;12,92;100,0;0;0;2,29;2,29;2,29;0,0;35,23;50,74;0,0;0,0;0,125;57357343750000,0;7573463,13
12;8;1;50;50,0;100,0;10000;10000;10000,0;11,0;18,93;364095;1108,5;25;22;88,0;48,9;53,1;100,0;8;0;873,7035;12,5;390,3405;1568,6874;349,69;10000,0;10000,0;10000,0;0,0;4,0;15,0;11,0;4,0;0,47;42,42;12,76;100,0;0;0;1,0;1,0;1,0;0,0;33,4;67,39;0,0;0,0;0,125;10937500000000,0;3307189,14
13;8;1;50;50,0;492,0;49200;49200;49200,0;11,12;19,21;405945;834,3;25;22;88,0;27,2;29,8;100,0;8;0;767,5665;12,5;513,1238;1076,4629;216,11;49200,0;49200,0;49200,0;0,0;4,0;15,0;11,0;4,0;0,01;41,7;12,71;100,0;0;0;4,92;4,92;4,92;0,0;32,23;66,16;0,0;0,0;0,125;264757500000000,0;16271370,56
14;8;1;50;50,0;279,0;27900;27900;27900,0;11,12;19,41;430560;1687,1;25;21;84,0;52,8;74,9;100,0;8;0;660,0726;12,5;238,7415;1020,2115;243,97;27900,0;27900,0;27900,0;0,0;2,0;15,0;11,0;4,0;-2,74;40,88;13,2;100,0;0;0;2,79;2,79;2,79;0,0;37,99;48,3;0,0;0,0;0,125;85138593750000,0;9227057,7
15;8;1;50;50,0;492,0;49200;49200;49200,0;11,0;18,73;447760;802,8;25;22;88,0;37,0;32,6;100,0;8;0;579,8091;12,5;153,346;981,236;218,46;49200,0;49200,0;49200,0;0,0;1,0;15,0;11,0;5,0;-8,59;39,45;14,36;100,0;0;0;4,92;4,92;4,92;0,0;41,41;47,13;0,0;0,0;0,125;264757500000000,0;16271370,56
16;8;1;50;50,0;429,0;42900;42900;42900,0;11,0;18,62;475661;1015,5;25;22;88,0;352,1;35,3;100,0;8;0;520,0096;12,5;153,6531;746,0905;157,76;42900,0;42900,0;42900,0;0,0;1,0;15,0;11,0;5,0;-7,89;38,08;14,08;100,0;0;0;4,29;4,29;4,29;0,0;41,41;47,18;0,0;0,0;0,125;201294843750000,0;14187841,41
17;8;1;50;50,0;466,0;46600;46600;46600,0;11,12;18,9;500661;599,9;25;22;88,0;22,1;23,6;100,0;8;0;504,1937;12,5;378,704;607,4077;78,69;46600,0;46600,0;46600,0;0,0;3,0;15,0;11,0;4,0;-2,38;37,04;12,67;100,0;0;0;4,66;4,66;4,66;0,0;36,08;47,67;0,0;0,0;0,125;237514375000000,0;15411501,39
18;8;1;50;50,0;492,0;49200;49200;49200,0;11,0;18,69;524966;483,6;25;23;92,0;20,8;23,2;100,0;8;0;472,6372;12,5;348,0935;594,3949;83,1;49200,0;49200,0;49200,0;0,0;3,0;15,0;11,0;4,0;-0,98;36,92;12,22;100,0;0;0;4,92;4,92;4,92;0,0;36,08;48,26;0,0;0,0;0,125;264757500000000,0;16271370,56
19;8;1;50;50,0;229,0;22900;22900;22900,0;10,75;18,28;552511;440,9;25;23;92,0;18,4;24,1;100,0;8;0;426,0786;12,5;241,1421;542,8475;100,94;22900,0;22900,0;22900,0;0,0;2,0;15,0;11,0;4,0;-2,82;38,11;12,61;100,0;0;0;2,29;2,29;2,29;0,0;38,28;49,06;0,0;0,0;0,125;57357343750000,0;7573463,13
20;8;1;50;50,0;492,0;49200;49200;49200,0;10,75;17,49;572109;438,5;25;23;92,0;15,7;18,9;100,0;8;0;398,2484;12,5;154,8879;524,9262;114,42;49200,0;49200,0;49200,0;0,0;1,0;15,0;11,0;4,0;-7,64;39,22;13,64;100,0;0;0;4,92;4,92;4,92;0,0;41,01;49,66;0,0;0,0;0,125;264757500000000,0;16271370,56
21;8;1;50;50,0;279,0;27900;27900;27900,0;10,5;17,5;599076;824,9;25;24;96,0;75,3;36,3;100,0;8;0;371,503;12,5;155,1981;511,3551;106,11;27900,0;27900,0;27900,0;0,0;1,0;15,0;10,0;4,0;-5,53;39,97;13,23;100,0;0;0;2,79;2,79;2,79;0,0;40,69;51,21;0,0;0,0;0,125;85138593750000,0;9227057,7
22;8;1;50;50,0;492,0;49200;49200;49200,0;10,62;18,02;631741;518,3;25;24;96,0;21,2;23,7;100,0;8;0;375,0574;12,5;310,8124;501,4997;59,79;49200,0;49200,0;49200,0;0,0;3,0;15,0;11,0;4,0;-0,57;40,94;12,38;100,0;0;0;4,92;4,92;4,92;0,0;34,88;52,74;0,0;0,0;0,125;264757500000000,0;16271370,56
23;8;1;50;50,0;123,0;12300;12300;12300,0;11,0;18,7;651949;777,9;25;22;88,0;26,3;38,9;100,0;8;0;402,1197;12,5;278,4478;766,6367;147,13;12300,0;12300,0;12300,0;0,0;5,0;15,0;11,0;3,0;2,01;41,73;12,1;100,0;0;0;1,23;1,23;1,23;0,0;31,16;64,69;0,0;0,0;0,125;16547343750000,0;4067842,64
24;8;1;50;50,0;466,0;46600;46600;46600,0;11,12;19,23;676866;582,4;25;22;88,0;22,8;23,0;100,0;8;0;362,5186;12,5;279,0055;470,9614;58,65;46600,0;46600,0;46600,0;0,0;5,0;15,0;11,0;4,0;2,1;42,11;12,29;100,0;0;0;4,66;4,66;4,66;0,0;31,6;63,91;0,0;0,0;0,125;237514375000000,0;15411501,39
25;8;1;50;50,0;492,0;49200;49200;49200,0;11,12;19,27;703978;513,2;25;22;88,0;20,9;22,9;100,0;8;0;335,2872;12,5;279,5644;377,5424;28,55;49200,0;49200,0;49200,0;0,0;4,0;15,0;11,0;4,0;-0,05;42,4;12,92;100,0;0;0;4,92;4,92;4,92;0,0;34,65;51,74;0,0;0,0;0,125;264757500000000,0;16271370,56
26;8;1;50;50,0;229,0;22900;22900;22900,0;10,75;18,58;746220;472,2;25;22;88,0;18,6;25,2;100,0;8;0;289,7279;12,5;88,6056;356,3285;80,86;22900,0;22900,0;22900,0;0,0;1,0;15,0;11,0;5,0;-6,26;42,55;14,35;100,0;0;0;2,29;2,29;2,29;0,0;42,82;52,43;0,0;0,0;0,125;57357343750000,0;7573463,13
27;8;1;50;50,0;492,0;49200;49200;49200,0;10,75;18,11;780100;785,6;25;22;88,0;18,0;19,5;100,0;8;0;278,5416;12,5;88,7831;348,6169;77,22;49200,0;49200,0;49200,0;0,0;1,0;15,0;11,0;5,0;-9,68;42,23;15,11;100,0;0;0;4,92;4,92;4,92;0,0;42,82;52,64;0,0;0,0;0,125;264757500000000,0;16271370,56
28;8;1;50;50,0;492,0;49200;49200;49200,0;10,88;18,79;802420;840,0;25;22;88,0;30,1;32,2;100,0;8;0;273,9989;12,5;138,779;337,5825;57,78;49200,0;49200,0;49200,0;0,0;2,0;15,0;11,0;4,0;-3,75;41,7;13,77;100,0;0;0;4,92;4,92;4,92;0,0;39,93;52,51;0,0;0,0;0,125;264757500000000,0;16271370,56
29;8;1;50;50,0;466,0;46600;46600;46600,0;11,0;19,11;828885;849,1;25;22;88,0;25,4;29,8;100,0;8;0;274,5335;12,5;224,6305;322,965;30,36;46600,0;46600,0;46600,0;0,0;3,0;15,0;11,0;4,0;-0,74;40,83;13,08;100,0;0;0;4,66;4,66;4,66;0,0;37,21;52,19;0,0;0,0;0,125;237514375000000,0;15411501,39
30;8;1;50;50,0;380,0;38000;38000;38000,0;11,0;18,93;854999;508,9;25;22;88,0;17,5;21,6;100,0;8;0;265,1702;12,5;225,0805;315,8279;25,52;38000,0;38000,0;38000,0;0,0;3,0;15,0;11,0;4,0;-0,99;39,59;12,97;100,0;0;0;3,8;3,8;3,8;0,0;37,21;51,82;0,0;0,0;0,125;157937500000000,0;12567318,73
31;8;1;50;50,0;229,0;22900;22900;22900,0;10,88;18,46;884139;521,0;25;22;88,0;22,5;21,5;100,0;8;0;245,4298;12,5;139,6146;282,9411;42,28;22900,0;22900,0;22900,0;0,0;2,0;15,0;11,0;4,0;-2,88;37,98;13,07;100,0;0;0;2,29;2,29;2,29;0,0;39,93;51,12;0,0;0,0;0,125;57357343750000,0;7573463,13
32;8;1;50;50,0;480,0;48000;48000;48000,0;10,62;17,63;919579;571,3;25;22;88,0;19,9;23,0;100,0;8;0;230,9484;12,5;89,6758;270,8111;55,42;48000,0;48000,0;48000,0;0,0;1,0;15,0;11,0;4,0;-6,36;36,43;13,44;100,0;0;0;4,8;4,8;4,8;0,0;42,34;50,35;0,0;0,0;0,125;252000000000000,0;15874507,87
33;8;1;50;50,0;229,0;22900;22900;22900,0;10,75;17,8;950579;516,4;25;22;88,0;16,9;26,6;100,0;8;0;230,4403;12,5;140,1745;266,0848;38,22;22900,0;22900,0;22900,0;0,0;2,0;15,0;11,0;4,0;-2,86;36,42;12,33;100,0;0;0;2,29;2,29;2,29;0,0;39,4;49,15;0,0;0,0;0,125;57357343750000,0;7573463,13
34;8;1;50;50,0;100,0;10000;10000;10000,0;10,88;17,78;973536;562,3;25;23;92,0;18,7;19,8;100,0;8;0;251,9984;12,5;207,4632;360,1417;46,79;10000,0;10000,0;10000,0;0,0;4,0;15,0;11,0;4,0;1,01;36,04;11,2;100,0;0;0;1,0;1,0;1,0;0,0;33,29;62,96;0,0;0,0;0,125;10937500000000,0;3307189,14
35;8;1;50;50,0;123,0;12300;12300;12300,0;10,62;17,59;1013792;523,2;25;24;96,0;17,8;21,7;100,0;8;0;240,119;12,5;169,5148;325,9221;47,06;12300,0;12300,0;12300,0;0,0;5,0;15,0;11,0;3,0;2,93;35,72;11,0;100,0;0;0;1,23;1,23;1,23;0,0;32,24;62,53;0,0;0,0;0,125;16547343750000,0;4067842,64
36;8;1;50;50,0;429,0;42900;42900;42900,0;10,38;17,51;1044773;604,6;25;24;96,0;26,9;26,3;100,0;8;0;224,3161;12,5;146,1642;273,9053;41,19;42900,0;42900,0;42900,0;0,0;5,0;15,0;10,0;3,0;3,43;36,33;11,37;100,0;0;0;4,29;4,29;4,29;0,0;32,66;64,94;0,0;0,0;0,125;201294843750000,0;14187841,41
37;8;1;50;50,0;279,0;27900;27900;27900,0;10,62;17,71;1073857;530,9;25;24;96,0;16,4;20,4;100,0;8;0;226,4079;12,5;170,1946;271,6075;35,82;27900,0;27900,0;27900,0;0,0;5,0;15,0;11,0;3,0;2,79;38,19;11,8;100,0;0;0;2,79;2,79;2,79;0,0;31,19;66,63;0,0;0,0;0,125;85138593750000,0;9227057,7
38;8;1;50;50,0;492,0;49200;49200;49200,0;10,5;17,9;1109507;573,8;25;24;96,0;18,5;21,5;100,0;8;0;213,0093;12,5;174,2006;263,92;30,31;49200,0;49200,0;49200,0;0,0;4,0;15,0;10,0;4,0;0,65;40,02;12,53;100,0;0;0;4,92;4,92;4,92;0,0;34,01;70,03;0,0;0,0;0,125;264757500000000,0;16271370,56
39;8;1;50;50,0;492,0;49200;49200;49200,0;10,38;17,61;1128379;802,7;25;23;92,0;25,7;33,1;100,0;8;0;193,2402;12,5;78,4675;257,6762;48,98;49200,0;49200,0;49200,0;0,0;2,0;15,0;10,0;4,0;-2,7;41,19;13,32;100,0;0;0;4,92;4,92;4,92;0,0;39,72;56,74;0,0;0,0;0,125;264757500000000,0;16271370,56
40;8;1;50;50,0;466,0;46600;46600;46600,0;10,38;17,31;1156395;694,3;25;22;88,0;21,0;29,6;100,0;8;0;185,7897;12,5;50,4005;235,1473;53,89;46600,0;46600,0;46600,0;0,0;1,0;15,0;10,0;4,0;-5,41;41,95;13,9;100,0;0;0;4,66;4,66;4,66;0,0;42,82;56,83;0,0;0,0;0,125;237514375000000,0;15411501,39
41;8;1;50;50,0;279,0;27900;27900;27900,0;10,25;17,27;1180328;667,7;25;24;96,0;21,2;23,5;100,0;8;0;180,0978;12,5;50,5014;215,049;50,44;27900,0;27900,0;27900,0;0,0;1,0;15,0;10,0;4,0;-5,63;42,44;14,09;100,0;0;0;2,79;2,79;2,79;0,0;42,17;57,87;0,0;0,0;0,125;85138593750000,0;9227057,7
42;8;1;50;50,0;492,0;49200;49200;49200,0;10,0;16,78;1208044;646,0;25;18;72,0;21,5;22,6;100,0;8;1;170,7252;12,5;78,94;210,2343;42,81;49200,0;49200,0;49200,0;0,0;2,0;15,0;10,0;4,0;-4,36;42,36;13,93;100,0;0;0;4,92;4,92;4,92;0,0;40,31;61,61;0,0;0,0;0,125;264757500000000,0;16271370,56
43;8;1;50;50,0;429,0;42900;42900;42900,0;10,0;16,79;1237148;598,6;25;18;72,0;20,8;22,5;100,0;8;1;166,9301;12,5;79,0981;230,8364;47,46;42900,0;42900,0;42900,0;0,0;2,0;15,0;10,0;4,0;-3,16;42,03;13,75;100,0;0;0;4,29;4,29;4,29;0,0;41,23;62,62;0,0;0,0;0,125;201294843750000,0;14187841,41
44;8;1;50;50,0;492,0;49200;49200;49200,0;10,12;17,18;1266636;832,5;25;20;80,0;25,8;24,8;100,0;8;1;162,5759;12,5;79,2565;206,6936;36,12;49200,0;49200,0;49200,0;0,0;2,0;15,0;10,0;4,0;-3,28;41,57;13,44;100,0;0;0;4,92;4,92;4,92;0,0;41,15;58,45;0,0;0,0;0,125;264757500000000,0;16271370,56
45;8;1;50;50,0;466,0;46600;46600;46600,0;10,38;17,39;1308633;597,6;25;19;76,0;22,8;23,9;100,0;8;1;162,7087;12,5;50,9072;204,2935;44,86;46600,0;46600,0;46600,0;0,0;1,0;15,0;10,0;5,0;-5,24;40,71;13,66;100,0;0;0;4,66;4,66;4,66;0,0;43,62;55,17;0,0;0,0;0,125;237514375000000,0;15411501,39
46;8;1;50;50,0;429,0;42900;42900;42900,0;10,38;17,19;1323849;1023,1;25;19;76,0;32,7;32,3;100,0;8;1;158,6691;12,5;51,0092;195,6324;42,31;42900,0;42900,0;42900,0;0,0;1,0;15,0;10,0;5,0;-7,74;39,35;14,06;100,0;0;0;4,29;4,29;4,29;0,0;43,62;53,74;0,0;0,0;0,125;201294843750000,0;14187841,41
47;8;1;50;50,0;279,0;27900;27900;27900,0;10,38;16,87;1366344;610,3;25;19;76,0;20,9;29,4;100,0;8;1;153,0581;12,5;51,1114;178,9148;39,6;27900,0;27900,0;27900,0;0,0;1,0;15,0;10,0;5,0;-7,47;37,62;13,79;100,0;0;0;2,79;2,79;2,79;0,0;44,15;53,96;0,0;0,0;0,125;85138593750000,0;9227057,7
48;8;1;50;50,0;492,0;49200;49200;49200,0;10,5;16,91;1397430;578,7;25;19;76,0;17,6;22,5;100,0;8;1;153,5268;12,5;79,8935;175,6055;29,35;49200,0;49200,0;49200,0;0,0;2,0;15,0;10,0;4,0;-4,62;35,77;12,97;100,0;0;0;4,92;4,92;4,92;0,0;41,24;54,05;0,0;0,0;0,125;264757500000000,0;16271370,56
49;8;1;50;50,0;480,0;48000;48000;48000,0;10,38;17,01;1429144;571,1;25;19;76,0;18,4;22,2;100,0;8;1;147,7749;12,5;80,0535;175,9322;28,42;48000,0;48000,0;48000,0;0,0;2,0;15,0;10,0;4,0;-3,07;34,99;12,5;100,0;0;0;4,8;4,8;4,8;0,0;41,72;53,4;0,0;0,0;0,125;252000000000000,0;15874507,87
50;8;1;50;50,0;480,0;48000;48000;48000,0;10,5;17,24;1458725;607,4;25;20;80,0;20,5;22,7;100,0;8;1;144,7029;12,5;80,2138;184,3306;30,65;48000,0;48000,0;48000,0;0,0;2,0;15,0;10,0;4,0;-3,7;35,18;12,9;100,0;0;0;4,8;4,8;4,8;0,0;42,86;53,83;0,0;0,0;0,125;252000000000000,0;15874507,87
51;8;1;50;50,0;327,0;32700;32700;32700,0;10,62;17,18;1485973;599,0;25;18;72,0;28,9;22,8;100,0;8;1;141,5433;12,5;51,5221;179,0948;38,33;32700,0;32700,0;32700,0;0,0;1,0;15,0;11,0;5,0;-6,09;35,9;13,68;100,0;0;0;3,27;3,27;3,27;0,0;45,37;54,65;0,0;0,0;0,125;116953593750000,0;10814508,48
52;8;1;50;50,0;492,0;49200;49200;49200,0;10,5;16,76;1515663;627,4;25;18;72,0;23,1;23,2;100,0;8;1;137,8496;12,5;51,6253;173,8494;35,89;49200,0;49200,0;49200,0;0,0;1,0;15,0;10,0;5,0;-8,53;37,09;14,36;100,0;0;0;4,92;4,92;4,92;0,0;45,18;56,24;0,0;0,0;0,125;264757500000000,0;16271370,56
53;8;1;50;50,0;480,0;48000;48000;48000,0;10,25;16,88;1553686;592,2;25;18;72,0;19,3;22,0;100,0;8;1;131,7732;12,5;51,7287;156,3973;35,35;48000,0;48000,0;48000,0;0,0;1,0;15,0;10,0;5,0;-6,16;39,37;14,08;100,0;0;0;4,8;4,8;4,8;0,0;45,7;58,69;0,0;0,0;0,125;252000000000000,0;15874507,87
54;8;1;50;50,0;160,0;16000;16000;16000,0;10,38;16,99;1582301;615,9;25;23;92,0;20,1;22,8;100,0;8;1;140,0418;12,5;117,0816;152,9556;13,87;16000,0;16000,0;16000,0;0,0;3,0;15,0;10,0;4,0;-2,48;40,92;13,35;100,0;0;0;1,6;1,6;1,6;0,0;38,54;60,25;0,0;0,0;0,125;28000000000000,0;5291502,62
55;8;1;50;50,0;100,0;10000;10000;10000,0;10,25;17,03;1613536;1128,9;25;20;80,0;30,8;31,7;100,0;8;1;142,0747;12,5;102,0739;207,7446;30,12;10000,0;10000,0;10000,0;0,0;4,0;15,0;10,0;4,0;-0,21;42,09;13,05;100,0;0;0;1,0;1,0;1,0;0,0;37,71;61,99;0,0;0,0;0,125;10937500000000,0;3307189,14
56;8;1;50;50,0;100,0;10000;10000;10000,0;10,25;17,28;1650215;762,1;25;19;76,0;21,2;23,4;100,0;8;1;137,234;12,5;102,2784;172,1529;21,68;10000,0;10000,0;10000,0;0,0;4,0;15,0;10,0;4,0;0,51;42,98;13,04;100,0;0;0;1,0;1,0;1,0;0,0;38,02;75,49;0,0;0,0;0,125;10937500000000,0;3307189,14
57;8;1;50;50,0;327,0;32700;32700;32700,0;10,25;17,38;1684503;778,9;25;19;76,0;31,0;124,7;100,0;8;1;128,0189;12,5;92,6065;153,5493;21,85;32700,0;32700,0;32700,0;0,0;3,0;15,0;10,0;4,0;-0,57;43,47;13,42;100,0;0;0;3,27;3,27;3,27;0,0;41,03;62,05;0,0;0,0;0,125;116953593750000,0;10814508,48
58;8;1;50;50,0;492,0;49200;49200;49200,0;10,12;17,05;1706805;908,9;25;19;76,0;28,3;31,3;100,0;8;1;119,6042;12,5;57,4426;152,2185;29,52;49200,0;49200,0;49200,0;0,0;2,0;15,0;10,0;5,0;-3,26;43,79;14,06;100,0;0;0;4,92;4,92;4,92;0,0;44,84;63,1;0,0;0,0;0,125;264757500000000,0;16271370,56
59;8;1;50;50,0;492,0;49200;49200;49200,0;10,0;16,72;1735452;894,5;25;19;76,0;38,0;28,4;100,0;8;1;115,361;12,5;36,896;150,0186;35,35;49200,0;49200,0;49200,0;0,0;1,0;15,0;10,0;5,0;-5,7;43,93;14,66;100,0;0;0;4,92;4,92;4,92;0,0;47,7;64,16;0,0;0,0;0,125;264757500000000,0;16271370,56
60;8;1;50;50,0;327,0;32700;32700;32700,0;10,0;16,89;1761134;1168,5;25;19;76,0;31,6;34,2;100,0;8;1;115,2823;12,5;57,673;138,8821;27,54;32700,0;32700,0;32700,0;0,0;2,0;15,0;10,0;4,0;-4,7;43,82;14,46;100,0;0;0;3,27;3,27;3,27;0,0;44,16;63,91;0,0;0,0;0,125;116953593750000,0;10814508,48
61;8;1;50;50,0;327,0;32700;32700;32700,0;10,12;17,41;1794042;883,0;25;25;100,0;25,4;25,0;100,0;8;0;119,233;12,5;93,3507;134,028;15,36;32700,0;32700,0;32700,0;0,0;3,0;15,0;10,0;4,0;-1,0;43,38;13,65;100,0;0;0;3,27;3,27;3,27;0,0;40,25;62,61;0,0;0,0;0,125;116953593750000,0;10814508,48
62;8;1;50;50,0;100,0;10000;10000;10000,0;10,38;17,64;1821150;845,6;25;24;96,0;24,7;25,2;100,0;8;1;129,022;12,5;118,2919;148,4725;9,26;10000,0;10000,0;10000,0;0,0;4,0;15,0;10,0;4,0;0,82;42,71;13,07;100,0;0;0;1,0;1,0;1,0;0,0;35,06;74,13;0,0;0,0;0,125;10937500000000,0;3307189,14
63;8;1;50;50,0;380,0;38000;38000;38000,0;10,5;17,75;1857864;999,4;25;24;96,0;37,1;33,3;100,0;8;1;129,5431;12,5;109,1093;142,4042;10,07;38000,0;38000,0;38000,0;0,0;4,0;15,0;10,0;4,0;0,75;41,87;12,85;100,0;0;0;3,8;3,8;3,8;0,0;34,67;72,41;0,0;0,0;0,125;157937500000000,0;12567318,73
64;8;1;50;50,0;429,0;42900;42900;42900,0;10,5;17,9;1886140;1297,8;25;18;72,0;35,8;30,7;100,0;8;1;123,3276;12,5;81,6795;137,6306;16,87;42900,0;42900,0;42900,0;0,0;3,0;15,0;10,0;4,0;-0,97;40,76;12,87;100,0;0;0;4,29;4,29;4,29;0,0;37,19;55,64;0,0;0,0;0,125;201294843750000,0;14187841,41
65;8;1;50;50,0;480,0;48000;48000;48000,0;10,62;17,99;1916154;1098,5;25;25;100,0;34,9;35,5;100,0;8;0;119,4127;12,5;50,6648;138,3749;26,79;48000,0;48000,0;48000,0;0,0;2,0;15,0;11,0;4,0;-4,31;39,24;13,32;100,0;0;0;4,8;4,8;4,8;0,0;40,46;52,08;0,0;0,0;0,125;252000000000000,0;15874507,87
66;8;1;50;50,0;160,0;16000;16000;16000,0;10,75;17,5;1950925;1097,1;25;24;96,0;31,7;35,1;100,0;8;0;116,9383;12,5;32,5425;135,7341;32,32;16000,0;16000,0;16000,0;0,0;1,0;15,0;11,0;5,0;-10,81;37,64;14,63;100,0;0;0;1,6;1,6;1,6;0,0;43,82;49,5;0,0;0,0;0,125;28000000000000,0;5291502,62
67;8;1;50;50,0;429,0;42900;42900;42900,0;10,88;17,65;1968771;1095,3;25;24;96,0;37,0;33,5;100,0;8;0;117,147;12,5;32,6077;141,6982;32,74;42900,0;42900,0;42900,0;0,0;1,0;15,0;11,0;5,0;-11,06;36,07;14,51;100,0;0;0;4,29;4,29;4,29;0,0;43,48;47,35;0,0;0,0;0,125;201294843750000,0;14187841,41
